title,writer,publisher,school,id_number,call_num,description,pubDate,img,catgory
오리진 2,댄 브라운,문학수첩,대덕소프트웨어마이스터고등학교,IT00007185,843 브292ㅇ v.2,다빈치 코드 작가 댄 브라운의 신과 과학 그리고 미래에 대한 대담한 질문. 다빈치 코드를 비롯한 그의 전작들이 그러하듯 오리진 역시 우리가 ‘당연하게’ 믿어왔던 진실에 물음표를 던진다.,2017-11-23,https://image.aladin.co.kr/product/12257/21/coversum/8983926856_1.jpg,국내도서>소설/시/희곡>추리/미스터리소설>영미 추리/미스터리소설
앨리스 죽이기,고바야시 야스미,검은숲,대덕소프트웨어마이스터고등학교,IT00007212,833.6 고42ㅇ,"고바야시 야스미 소설. 루이스 캐럴의 환상소설 이상한 나라의 앨리스를 바탕으로 꿈과 현실 사이를 오가며 연쇄살인마를 추적하는 과정을 그린 작품으로, '고전과 미스터리의 성공적 결합'이라는 호평을 받았다.",2015-12-21,https://image.aladin.co.kr/product/7233/44/coversum/895277518x_1.jpg,국내도서>소설/시/희곡>추리/미스터리소설>일본 추리/미스터리소설
오만과 편견,제인 오스틴,민음사,대덕소프트웨어마이스터고등학교,IT00007260,808.9 세14 v.88 c.4,"제인 오스틴의 대표작 <오만과 편견>이 보다 정확하고 말끔한 번역으로 재출간됐다. 역자인 윤지관과 전승희는 10여 년에 걸친 기간 동안 철저한 원문대조를 통해, 본래의 의미와 문체를 생생하게 되살려내기 위해 노력했다고.",2003-09-20,https://image.aladin.co.kr/product/43/68/coversum/s937460882_1.jpg,국내도서>소설/시/희곡>영미소설
수레바퀴 아래서,헤르만 헤세,문학동네,대덕소프트웨어마이스터고등학교,IT00007263,853 헤54ㅅ,"《수레바퀴 아래서》 속 '나’와 삶을 성찰하게 하는 문장 40가지를 골라 엮었다. 본문 구성은 ‘쓰는 맛’까지 살려 필사의 몰입도를 높였으며, 문장의 흐름에 맞춰 구성된 목차는 독자들이 자연스럽게 사유의 깊이를 더해가도록 도와준다.",2025-08-15,https://image.aladin.co.kr/product/37227/18/coversum/k992031704_1.jpg,국내도서>건강/취미>글씨 쓰기
또다시 같은 꿈을 꾸었어,스미노 요루,소미미디어,대덕소프트웨어마이스터고등학교,IT00009459,833.6 스38ㄸ c.3,너의 췌장을 먹고 싶어의 작가 스미노 요루가 지친 사람들에게 전하는 다정하고 따스한 이야기. 자타공인 똑똑하고 당돌한 소녀 고야나기 나노카는 학교 안에는 이렇다 할 친구가 없지만 학교 밖에는 친구가 많다.,2017-10-25,https://image.aladin.co.kr/product/11979/89/coversum/k532531533_2.jpg,국내도서>소설/시/희곡>일본소설>1950년대 이후 일본소설
또다시 같은 꿈을 꾸었어,스미노 요루,소미미디어,대덕소프트웨어마이스터고등학교,IT00009460,833.6 스38ㄸ c.4,너의 췌장을 먹고 싶어의 작가 스미노 요루가 지친 사람들에게 전하는 다정하고 따스한 이야기. 자타공인 똑똑하고 당돌한 소녀 고야나기 나노카는 학교 안에는 이렇다 할 친구가 없지만 학교 밖에는 친구가 많다.,2017-10-25,https://image.aladin.co.kr/product/11979/89/coversum/k532531533_2.jpg,국내도서>소설/시/희곡>일본소설>1950년대 이후 일본소설
또다시 같은 꿈을 꾸었어,스미노 요루,소미미디어,대덕소프트웨어마이스터고등학교,IT00009468,833.6 스38ㄸ c.12,너의 췌장을 먹고 싶어의 작가 스미노 요루가 지친 사람들에게 전하는 다정하고 따스한 이야기. 자타공인 똑똑하고 당돌한 소녀 고야나기 나노카는 학교 안에는 이렇다 할 친구가 없지만 학교 밖에는 친구가 많다.,2017-10-25,https://image.aladin.co.kr/product/11979/89/coversum/k532531533_2.jpg,국내도서>소설/시/희곡>일본소설>1950년대 이후 일본소설
위키드 6  오즈마 이야기,그레고리 머과이어,민음사,대덕소프트웨어마이스터고등학교,IT00007367,843 머15ㅇ v.6,"초록색 마녀 엘파바의 사랑과 우정, 엘파바의 저항정신을 실천하며 삶의 의미를 발견하고자 했던 리르의 용기, 그리고 겁쟁이 사자를 통해 오즈 역사의 배경과 위키드 이야기의 비밀들이 하나씩하나씩 풀려나가고 있다. 이제 ‘레인 이야기’를 통해 그 뒷이야기가 펼쳐진다.",2024-12-05,https://image.aladin.co.kr/product/35313/32/coversum/893742844x_1.jpg,국내도서>소설/시/희곡>판타지/환상문학>외국판타지/환상소설
타라 덩컨 2 2  비밀의 책,소피 오두인 마미코니안,소담출판사,대덕소프트웨어마이스터고등학교,IT00007393,863 마38ㅌ v.2-2,"유럽에서 선풍적인 인기를 얻었던 판타지 소설 <타라 덩컨>이 출간되었다. 하루가 스물여섯 시간이고 일년이 454일에 일곱 계절이 존재하는 마법행성 '아더월드'와, 사랑스러운 소녀 타라덩컨. 기상천외한 마법 소재들과 거기에 얽히는 모험들이 속도감 있게 전개된다. 톡톡 튀는 문장과 작품 도처에 깔린 교묘한 복선이 재미를 더해 준다.",2006-10-19,https://image.aladin.co.kr/product/266/83/coversum/8973819550_1.jpg,국내도서>소설/시/희곡>판타지/환상문학>외국판타지/환상소설
타라 덩컨 5 2,소피 오두인 마미코니안,소담출판사,대덕소프트웨어마이스터고등학교,IT00007399,863 마38ㅌ v.5-2,,,,
